STT,Test Data Describe,Mô tả test case,Data Type,Question,VN Dich tham khao,Expected result (Context from file PDF),Expected result,"Actual result
(Top k 10, file database: 190 file)",VN,"Comments
1. Chất lượng Answer
2.Trích dẫn ",Result,Report Search Result,Journal Search Result,Manufacturing Search Result ,TYPE HỎI,,,
1,"03j016
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi về nội dung bảng,Data01,"重点4技術分野におけるサイエンスリンケージの計測の表 2 サイエンスリンケージの日米比較によると、ナノテク
ノロジーのフィルタ適合特許件数はどのぐらいですか","Bảng 2: Đo lường mối liên kết khoa học trong bốn lĩnh vực công nghệ ưu tiên. Theo so sánh về mối liên kết khoa học giữa Nhật Bản và Hoa Kỳ, có bao nhiêu bằng sáng chế công nghệ nano phù hợp với bộ lọc?","表 2 サイエンスリンケージの日米比較

テーマ名 フィルタ フィルタ適
合特許件数

バイオテ
クノロジ
ー

1) IPC:C12N15+C12N/1+C12N/5+C12N/7+A61K/48
2) 明細書中のキーワード:ベクタ遺伝子+癌遺伝子+遺伝子配
列+ウイルス遺伝子+バクテリア遺伝子+細菌遺伝子+遺伝子
障害+遺伝子治療+レトロウイルス+細胞成長+細胞増殖+リ
ンホカイン+シトキン+サイトカイン
3) 1+2

7,555

ナノテク
ノロジー

1) IPC(+FI):B82B1/00+B82B3/00
2) キーワード: ナノ+超微粒子+メソポーラス+(メソ*多孔体)
+自己組織+自己配列+(自己*アッセンブリ)+(自己*アセン
ブリ)+超分子+量子ワイア+量子ドット+量子井戸+量子細線
+LB 膜+(ラングミュア*ブロジェット*膜)+(langmuir*blodgett)
+分子機械+(バイオ*素子)
3) 2 の デ ー タ を 次 の IPC に 絞 る :
A01N+A23B+A23C+A23J+A23L+A61K+A61L+A61M+B01D+B01F+
B01J+B03C+B05B+B05C+B05D+B07B+B09B+B22F+B23B+B23C
+B23D+B23K+B23Q+B24B+B25J+B32B+B41M+B62C+C01B+C01
F+C01G+C02F+C03B+C03C+C04B+C07B+C07C+C07D+C07F+C0
7H+C07J+C07K+C08B+C08F+C08G+C08J+C08K+C08L+C09C+C
09D+C09K+C12N+C12P+C12Q+C21D+C22B+C22C+C23C+C23D+
C23F+C23G+C25BL+C25C+C25D+C25F+C30B+D01F+D03D+D04
H+D06F+D06M+D06N+D21H+G01B+G01C+G01J+G01N+G01N033
+G01P+G01R+G01T+G02B+G02F+G03C+G03G+G03H+G05D+G06
F+G11B+G11C+G12B+G21K+H01B+H01F+H01G+H01J+H01L
021+H01L 023+H01L 025+H01L 027+H01L 029+H01L 031+H01L
033+H01L 039+H01L
041+H01L049+H01M+H01S+H04B+H05B+H05G+H05H+H05K
4) 1+3

7,943

IT IPC:G06F+H01L 49,995
環境関連
技術

広域ファセット:ZAB 6,965

- 14 -

無作為抽
出

なし 880,043","ナノテクノロジー　7,943",,,,,,,,2.Hỏi bảng,,,
2,"16205
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi về thuật ngữ được đề cập trong pdf\,Data01,古典的近似解法との組合せによる量子アニーリングの性能改善という論文研究において、量子アニーリングとは何ですか,"Trong bài báo ""Cải thiện hiệu suất của quá trình ủ lượng tử bằng cách kết hợp các phương pháp xấp xỉ cổ điển"", quá trình ủ lượng tử là gì?",量子アニーリングは，量子ゆらぎを利用して様々な状態の重ね合わせを作り，エネルギーが最も低い状態にある解を求める方法である［4］前章で述べたように量子アニーリングは組合せ最適化問題，すなわち，ある条件下での目的関数の最小値または最大値とそれを与える決定変数（離散値）の組合せを求める問題に特化している．組合せ最適化問題の中でも，量子アニーリングは QUBO（Quadratic Unconstrained Binary Optimization）問題，つまり，目的関数が二次形式であり制約条件がなく，決定変数が 2 値を取る問題を解くのに特化している．業務効率化や意思決定支援等の問題を QUBO 問題に還元することができ，例えば，製造工場における生産計画最適化，運輸業における配送計画最適化，金融商品のポートフォリオ最適化等に活用することができる．量子アニーリングは古典汎用ソルバと比較して速く計算することができ，かつ，QUBO 問題は汎用性が高く多くの典型問題に対応できることから，量子アニーリングへの期待が高まっている．,量子アニーリングは，量子ゆらぎを利用して様々な状態の重ね合わせを作り，エネルギーが最も低い状態にある解を求める方法である,,,,,,,,1.Hỏi text,,,
3,"16205
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi về bối cảnh,Data01,"内閣府が 2022 年に公開した量子未来社会ビジョンでは、2030 年に目指すべき状況として，
何の２点を掲げていますか","Trong Tầm nhìn Xã hội Tương lai Lượng tử do Văn phòng Nội các công bố năm 2022, hai điểm nào được nêu ra là tình hình chúng ta nên hướng tới vào năm 2030?","内閣府が 2022 年に公開した量子未来社会ビジョンでは，2030 年に目指すべき状況として，「国内の量子技術の利用者を 1,000 万人に」と「量子技術による生産額を 50 兆円規模に」の 2点を掲げている［1］．量子コンピュータの分野では，組合せ最適化問題に特化したアニーリング方式は生産計画最適化や配送計画最適化等での実証実験が行われているのに対して，汎用的な計算ができるゲート方式は開発途上にあり，実問題を解く上で不可欠な誤り耐性機能の実装を備えた機器が利用できるのは早くても 2030 年以降と予測されている","内閣府が 2022 年に公開した量子未来社会ビジョンでは，2030 年に目指すべき状況として，「国内の量子技術の利用者を 1,000 万人に」と「量子技術による生産額を 50 兆円規模に」の 2点を掲げている",,,,,,,,1.Hỏi text,,,
4,"2013_cal_003
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi nội dung trong bảng,Data01,臨床医学の教育及び研究における死体解剖のガイドライン日本外科学会・日本解剖学会の表 1 臨床医学の教育及び研究における遺体使用の例によると、基本的な医療技術の目的は何ですか,"Hướng dẫn về mổ tử thi trong giáo dục và nghiên cứu y học lâm sàng của Hội Phẫu thuật Nhật Bản và Hội Giải phẫu học Nhật Bản. Theo Bảng 1, Ví dụ về việc sử dụng tử thi trong giáo dục và nghiên cứu y học lâm sàng, mục đích của các kỹ thuật y học cơ bản là gì?","表 1 臨床医学の教育及び研究における遺体使用の例

1基本的な医療技術
・臨床研修医等を対象にした,安全な医療技術の習得に必要な解剖学的知識の教育を目的とした遺体使用等
2基本的な手術手技,標準手術
・OJT(on the job training)や動物を用いたトレーニングが可能であるが,手術手技の習得に必要な解剖の教育を目的と
した遺体使用等
3確立した手技であるが,難度が高く,高度な技術を要する手術手技
・先進的であるために OJT の機会が少ない手術手技や,人体との解剖学的差異から動物を用いたトレーニングが難しい手
術手技の習得に必要な解剖の教育や研究を目的とした遺体使用等
4新規の手術手技,医療機器等の研究開発
・研究段階の手術手技や,新たな手術器具の開発に必要な人体での研究を目的とした遺体使用等","1基本的な医療技術
・臨床研修医等を対象にした,安全な医療技術の習得に必要な解剖学的知識の教育を目的とした遺体使用等",,,,,,,,2.Hỏi bảng,,,
5,"2013_cal_003
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi nội dung trong bảng,Data01,臨床医学の教育及び研究における死体解剖のガイドライン日本外科学会・日本解剖学会という研究論文の表 2 臨床医学の教育及び研究における遺体使用の実施条件によると、臨床医学の教育及び研究を通じて何を目的としますか,"Theo Bảng 2 của bài nghiên cứu ""Hướng dẫn về mổ xác trong giáo dục và nghiên cứu y khoa lâm sàng"" của Hiệp hội phẫu thuật Nhật Bản và Hiệp hội giải phẫu Nhật Bản, mục đích của giáo dục và nghiên cứu y khoa lâm sàng là gì?","表 2 臨床医学の教育及び研究における遺体使用の実施条件
1臨床医学の教育及び研究を通じて医療安全の向上をはかり,国民福祉への貢献を目的とするもの
2医学教育,医学研究の一環として,医科大学(歯科大学,医学部・歯学部を置く大学)において,死体解剖保存法,献
体法の範疇で実施するもの
3使用する解剖体は,以下を満たすものであること.1. 死亡した献体登録者が生前に,自己の身体が学生に対する解剖教
育に加えて,医師(歯科医師を含む)による手術手技研修等の臨床医学の教育及び研究に使用されることについての書
面による意思表示をしていること.2. 家族がいる場合には,家族からも理解と承諾を得られていること.
4実施にあたり,大学の倫理委員会に諮り,実施内容を十分に検討し承認を得ていること","1臨床医学の教育及び研究を通じて医療安全の向上をはかり,国民福祉への貢献を目的とするもの",,,,,,,,2.Hỏi bảng,,,
6,"2013_cal_003
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi nội dung,Data01,"近年,医療安全への社会的な関心が高まり,手術手技の修練もいきなり患者で行うのではなく、何の方法による臨床経験を積んでいますか","Trong những năm gần đây, sự quan tâm của xã hội đối với an toàn y tế đã tăng lên, và việc đào tạo phẫu thuật không còn được thực hiện ngay lập tức trên bệnh nhân nữa. Vậy những phương pháp nào được sử dụng để tích lũy kinh nghiệm lâm sàng?","近年,医療安全への社会的な関心が高まり,手術手技の修練もいきなり患者で行うのではなく,OJT(on the job training)による臨床経験を積んだ上で,さらに模型や動物等を使用して十分な練習を行うことが求められている.しかし,より先進的で高度な手術手技は OJT の機会が少なく,複雑な解剖学的構造を有する部位の手術のトレーニングは人体との解剖学的差異から模型や動物等を用いることが難しい場合もある.海外では手術手技向上のための遺体使用(cadaver training)が幅広く行われているが,国内におい
てはその環境が整っておらず,遺体を用いた手術手技実習は法律の枠内での基準が定められていないため,広く普及し医療安全に貢献するという状況にない.","近年,医療安全への社会的な関心が高まり,手術手技の修練もいきなり患者で行うのではなく,OJT
(on the job training)による臨床経験を積んだ上で,さらに模型や動物等を使用して十分な練習を行うこと
が求められている.",,,,,,,,1.Hỏi text,,,
7,"2013_cal_003
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi nội dung,Data01,臨床医学の教育及び研究における死体解剖のガイドライン日本外科学会・日本解剖学会という研究論文によると、海外では何のための遺体使用(cadaver training)が幅広く行われていますか,"Theo một bài nghiên cứu có tựa đề ""Hướng dẫn về mổ xác chết trong giáo dục và nghiên cứu y khoa lâm sàng"" của Hiệp hội phẫu thuật Nhật Bản và Hiệp hội giải phẫu học Nhật Bản, mục đích của việc đào tạo xác chết được thực hiện rộng rãi ở nước ngoài là gì?","近年,医療安全への社会的な関心が高まり,手術手技の修練もいきなり患者で行うのではなく,OJT(on the job training)による臨床経験を積んだ上で,さらに模型や動物等を使用して十分な練習を行うことが求められている.しかし,より先進的で高度な手術手技は OJT の機会が少なく,複雑な解剖学的構造を有する部位の手術のトレーニングは人体との解剖学的差異から模型や動物等を用いることが難しい場合もある.海外では手術手技向上のための遺体使用(cadaver training)が幅広く行われているが,国内においてはその環境が整っておらず,遺体を用いた手術手技実習は法律の枠内での基準が定められていないため,広く普及し医療安全に貢献するという状況にない.","海外では手術手技向上のための遺体使用(cadaver training)が幅広く行われているが,国内におい
てはその環境が整っておらず,遺体を用いた手術手技実習は法律の枠内での基準が定められていないため,
広く普及し医療安全に貢献するという状況にない.",,,,,,,,1.Hỏi text,,,
8,"20220422_resources_standard_guidelines_guidebook_01
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi về thuật ngữ trong banrg,Data01,"アジャイル開発実践ガイドブックにおいて、プロダクトオーナー支援とは何ですか
",Hỗ trợ chủ sở hữu sản phẩm có nghĩa là gì trong Sổ tay hướng dẫn thực hành phát triển Agile?,アジャイル開発におけるプロダクトオーナーの振る舞い並びにシステム開発及びプロジェクト運営に対する職員の知見を補完する役割を指す。表 １ 用語の定義,"アジャイル開発におけるプロダクトオーナーの振る舞い
並びにシステム開発及びプロジェクト運営に対する職員
の知見を補完する役割を指す。",,,,,,,,2.Hỏi bảng,,,
9,"20220422_resources_standard_guidelines_guidebook_01
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi về nội dung ,Data01,アジャイル開発実践ガイドブックのアジャイル開発では、何の機能を結合し、テスト環境や本番環境に展開し、動く状態にしますか,"Trong Sổ tay thực hành phát triển linh hoạt, những chức năng nào được kết hợp, triển khai vào môi trường thử nghiệm và môi trường sản xuất, và đưa vào vận hành?","機能一つ一つを単独で作り、結合テストフェーズで機能間の整合性を検証
する方法だと、機能間の認識齟齬について検知できるのがかなり後になって
しまうリスクがあります。アジャイル開発では、基本的にスプリントごとに
開発した機能を結合し、テスト環境や本番環境に展開し、動く状態にします。
つまり、結合時の問題について早期に検知できる可能性が高くなります。",アジャイル開発では、基本的にスプリントごとに 開発した機能を結合し、テスト環境や本番環境に展開し、動く状態にします。,,,,,,,,1.Hỏi text,,,
10,"20220422_resources_standard_guidelines_guidebook_01
https://drive.google.com/drive/u/0/folders/1_HrRg66d7G0C7zvPi5rkExGFHrYGLVwE",Câu hỏi về nội dung ,Data01,アジャイル開発実践ガイドブックには、アジャイル開発を成功させるためには、何が極めて重要ですか,Sổ tay hướng dẫn thực hành phát triển Agile nêu rõ điều gì là quan trọng nhất để phát triển Agile thành công?,"アジャイル開発を成功させるためには、プロダクトオーナーである発注者
と、開発チームである事業者との協働が極めて重要です。発注者（プロダク
トオーナー）は、システムの専門家・有識者である事業者と共に考え、議論
し、事業者との共通認識として仕様を固める作業に多くの時間を費やしま
す。情報システムが提供するサービスはどうあるべきかという、情報システ
ムがその仕様によって実現する根幹部分だけでなく、場合によっては UX（ユ
ーザー体験）／UI を通じたシステムの振る舞いの細かな部分までがその対象
となります。もちろん、事業者はそういった観点でシステムの専門家・有識
者たる技量や経験が必要ですし、事業者はその議論や決定のために日々技術
調査や検証を行ったり、プロトタイプやモックの作成を行ったりしつつ、発
注者とより良いプロダクト作りに注力することが求められます",アジャイル開発を成功させるためには、プロダクトオーナーである発注者と、開発チームである事業者との協働が極めて重要です,,,,,,,,1.Hỏi text,,,
